"fullname","id","likes","replies","retweets","text","timestamp","user"
"Zach Harrison","824291544094167040","0","0","0","#bellletstalk @ Hillcrest Mall https://www.instagram.com/p/BPsaQexAEgJ/ ","2017-01-25T16:23:13","zachh2448"
"Andrew Pike","824291573181677568","3","0","6","No stigma. No shame. Mental health issues affect everyone. #bellletstalk @ Toronto, Ontario https://www.instagram.com/p/BPsaRQRD9ZH/ ","2017-01-25T16:23:20","_AndrewPike"
"TIFF Human Resources","824291678076796928","2","0","5","It's #BellLetsTalk day! Let's get the conversation started! We'll be talking all day!!  @ TIFF https://www.instagram.com/p/BPsaUYABmFI/ ","2017-01-25T16:23:45","TIFF_HR"
"Leanne","824292924674416640","2","0","4","Bell Let's Toque Day?? #BellLetsTalk #mentalhealthawareness #mentalhealth #mentalillness… https://www.instagram.com/p/BPsa4rPj6o3/ ","2017-01-25T16:28:42","leanne_losingit"
"Holly Patrick","824293480730136576","2","0","2","It's #BellLetsTalk day everyone! Today each post, tweet, retweet, text or call with… https://www.instagram.com/p/BPsbI1UjJJ8/ ","2017-01-25T16:30:55","hollypatrick11"
"DJ MelBoogie","824297327447904259","2","0","0","...doesn't make you weak, it makes you HUMAN.... #BellLetsTalk #Repost @noyzhiphop with… https://www.instagram.com/p/BPsc4u5AzJM/ ","2017-01-25T16:46:12","djmelboogie"
"emily • עינב","824297672999833602","1","0","0","Today is #BellLetsTalk Day. This day is important to me because when I went to my university's… https://www.instagram.com/p/BPsctkxjHAg/ ","2017-01-25T16:47:34","nicejewishgrl"
"Steph V","824297809629351937","0","0","0","What we're all about. #bellletstalk #bellletstalkday #audimidtown #thehumberviewgroup #teamwork… https://www.instagram.com/p/BPsdGrxjzCu/ ","2017-01-25T16:48:07","StephV028"
"The Peer Project","824301549383843840","2","0","2","Andre, Events Manager @ The Peer Project #BellLetsTalk @ The Peer Project - Youth Assisting Youth https://www.instagram.com/p/BPsezqHB0VG/ ","2017-01-25T17:02:58","PeerProject"
"Tara Bragg","824302072015294465","1","0","0","#BellLetsTalk - Join the conversation to help end the stigma of… https://www.instagram.com/p/BPsfC63gIZzcAx_HRTrkN9d7hcTvWQ058aDClw0/ …","2017-01-25T17:05:03","im_bragging"
"Danielle","824302652553134080","0","0","0","Bell Let's Talk. I'll definitely be spamming all of my social media accounts with #bellletstalk… https://www.instagram.com/p/BPsfTnXjqN_/ ","2017-01-25T17:07:21","danieellewright"
"Paul","824303651334262784","0","0","0","Time to end the silence! #BellLetsTalk","2017-01-25T17:11:19","chefsingledad72"
"Streets Of Toronto","824304345130893313","1","0","2","Just because it can't be seen, doesn't mean it can't do damage. Today, #BellLetsTalk helps open… https://www.instagram.com/p/BPsgFHEACI2/ ","2017-01-25T17:14:05","streetsoftdot"
"Kristin Booth","824305352409759745","12","0","5","#bellletstalk If you had a broken leg would you try to hide it, not get help? No. Let's smash… https://www.instagram.com/p/BPsgiVcjIvD/ ","2017-01-25T17:18:05","kristintbooth"
"Kwamie O Mingo","824305373758816256","0","0","0","#bellletstalk ""only way to get started is to get started ""… https://www.instagram.com/p/BPsgi-1D7IPmKYAuT-sXmJwVn4wNYcYoX2A0qM0/ …","2017-01-25T17:18:10","KwamieMingo"
"Caroline Booth ","824305897816129541","0","0","0","#BellLetsTalk","2017-01-25T17:20:15","CarolineEBooth"
"Michelle Dias","824307031716741121","0","0","0","Celebrating #BellLetsTalk Day with the shortest @nba player and @raptors alumni @muggsybogues!… https://www.instagram.com/p/BPshTNQBoiC/ ","2017-01-25T17:24:45","MichelleDias"
"Shop & Save","824307755448029185","0","0","0","Kicking off #BellLetsTalk day by handing out 1000 toques to employees! I am fundraising $500 for… https://www.instagram.com/p/BPshoPgB_Wu/ ","2017-01-25T17:27:38","motivesmavensca"
"Dallas Wade","824309398084481024","0","0","0","#bellletstalk @ Toronto, Ontario https://www.instagram.com/p/BPsiYLLj8Zr/ ","2017-01-25T17:34:10","OmgItsDallas"
"swagz","824312021994917889","0","0","0","#BellLetsTalk  just because your smiling doesn't mean your happy.","2017-01-25T17:44:35","Aldz_18"
